class,structure,Pv
multidomains,m2n2_15_30_40-5-multidom.pdb,0.0
multidomains,m2n5_15_30_35-47-multidom.pdb,0.21553551
multidomains,m2n3_15_30_35-82-multidom.pdb,0.0
multidomains,m5n2_15_30_50-37-multidom.pdb,0.0
onions,m1n3_15_30_50-54-oni.pdb,0.03192308
multidomains,m5n2_15_30_50-71-multidom.pdb,0.0
multidomains,m2n2_15_30_40-62-multidom.pdb,0.03
multidomains,m2n5_15_30_32-40-multidom.pdb,0.05
multidomains,m2n3_15_30_35-99-multidom.pdb,0.0
multidomains,m2n4_15_30_32-99-multidom.pdb,0.0
multidomains,m2n2_15_30_50-75-multidom.pdb,0.06294872
onions,m1n3_15_30_50-18-oni.pdb,0.05
multidomains,m2n3_15_30_35-32-multidom.pdb,0.0
multidomains,m2n2_15_30_50-59-multidom.pdb,0.20807937
multidomains,m7n2_15_30_50-100-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-89-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n4_15_30_32-48-multidom.pdb,0.0
multidomains,m2n4_15_30_32-150-multidom.pdb,0.0
multidomains,m2n3_15_30_45-13-multidom_wormcoiled_.pdb,0.05
multidomains,m2n3_15_30_45-147-multidom_wormcoiled_.pdb,0.05
multidomains,m2n5_15_30_35-80-multidom.pdb,0.27085714
multidomains,m2n5_15_30_32-121-multidom.pdb,0.03
multidomains,m2n3_15_30_45-49-multidom_wormcoiled_.pdb,0.02
multidomains,m5n2_15_30_50-54-multidom.pdb,0.0
multidomains,m2n2_15_30_40-154-multidom.pdb,0.0
multidomains,m2n3_15_30_45-120-multidom_wormcoiled_.pdb,0.00461538
multidomains,m2n5_15_30_32-33-multidom.pdb,0.03929375
multidomains,m2n3_15_30_35-77-multidom.pdb,0.05
multidomains,m2n5_15_30_32-146-multidom.pdb,0.0
multidomains,m7n2_15_30_50-146-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-73-multidom.pdb,0.0
multidomains,m2n5_15_30_35-44-multidom.pdb,0.22553551
multidomains,m7n2_15_30_50-95-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_50-22-multidom.pdb,0.05
onions,m1n3_15_30_50-20-oni.pdb,0.03
multidomains,m7n2_15_30_50-108-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-28-multidom.pdb,0.0
multidomains,m2n4_15_30_32-113-multidom.pdb,0.0
multidomains,m2n2_15_30_50-65-multidom.pdb,0.07183761
multidomains,m2n5_15_30_32-30-multidom.pdb,0.07015089
multidomains,m7n2_15_30_50-32-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-60-multidom.pdb,0.0
multidomains,m2n2_15_30_40-78-multidom.pdb,0.0
multidomains,m2n4_15_30_32-49-multidom.pdb,0.0
multidomains,m2n3_15_30_35-23-multidom.pdb,0.03
multidomains,m2n3_15_30_45-28-multidom_wormcoiled_.pdb,0.0
multidomains,m2n3_15_30_35-54-multidom.pdb,0.0
multidomains,m2n3_15_30_45-34-multidom_wormcoiled_.pdb,0.0
multidomains,m2n3_15_30_35-50-multidom.pdb,0.0
multidomains,m2n5_15_30_35-75-multidom.pdb,0.26497995
multidomains,m2n5_15_30_35-95-multidom.pdb,0.06821429
micelles,m3n3_15_30_50-3-neckl.pdb,0.0
multidomains,m5n2_15_30_50-21-multidom.pdb,0.0
multidomains,m2n2_15_30_40-147-multidom.pdb,0.03
multidomains,m2n3_15_30_45-11-multidom_wormcoiled_.pdb,0.0
multidomains,m2n3_15_30_45-106-multidom_wormcoiled_.pdb,0.0
onions,m1n3_15_30_50-19-oni.pdb,0.0
multidomains,m5n2_15_30_50-141-multidom.pdb,0.0
multidomains,m2n4_15_30_32-30-multidom.pdb,0.0
onions,m1n3_15_30_50-51-oni.pdb,0.03
micelles,m5n2_15_30_100-21-micelle.pdb,0.0
multidomains,m7n2_15_30_50-25-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-66-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-150-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_50-143-multidom.pdb,0.05461538
multidomains,m2n2_15_30_50-81-multidom.pdb,0.05461538
multidomains,m2n2_15_30_40-160-multidom.pdb,0.14015089
multidomains,m2n3_15_30_35-4-multidom.pdb,0.0
multidomains,m2n5_15_30_32-98-multidom.pdb,0.07350427
multidomains,m2n5_15_30_32-47-multidom.pdb,0.02350427
multidomains,m2n3_15_30_45-7-multidom.pdb,0.03
multidomains,m2n2_15_30_50-40-multidom.pdb,0.06294872
multidomains,m5n2_15_30_50-75-multidom.pdb,0.0
multidomains,m5n2_15_30_50-99-multidom.pdb,0.0
multidomains,m2n4_15_30_32-105-multidom.pdb,0.0
multidomains,m2n3_15_30_40-1-wormdom.pdb,0.23553551
multidomains,m2n3_15_30_35-49-multidom.pdb,0.03
multidomains,m2n5_15_30_32-60-multidom.pdb,0.05461538
multidomains,m2n2_15_30_40-61-multidom.pdb,0.03
multidomains,m5n2_15_30_50-108-multidom.pdb,0.0
multidomains,m2n2_15_30_40-122-multidom.pdb,0.0
multidomains,m2n5_15_30_32-117-multidom.pdb,0.0
multidomains,m2n3_15_30_45-84-multidom_wormcoiled_.pdb,0.07350427
multidomains,m7n2_15_30_50-39-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-144-multidom.pdb,0.0
multidomains,m5n2_15_30_50-150-multidom.pdb,0.0
multidomains,m2n4_15_30_32-90-multidom.pdb,0.0
multidomains,m2n2_15_30_40-15-multidom.pdb,0.06833333
multidomains,m2n2_15_30_40-130-multidom.pdb,0.0
multidomains,m2n2_15_30_50-16-multidom.pdb,0.05
multidomains,m2n5_15_30_35-38-multidom.pdb,0.13015089
multidomains,m2n4_15_30_32-13-multidom.pdb,0.05
multidomains,m7n2_15_30_50-59-multidom_far_.pdb,0.0
multidomains,m2n1_15_30_100-3-multidom.pdb,0.0
multidomains,m7n2_15_30_50-69-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-73-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-57-multidom_wormcoiled_.pdb,0.0
multidomains,m7n2_15_30_50-98-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-2-multidom.pdb,0.0
cylinders,m2n5_15_30_40-2-cylinder.pdb,0.0
multidomains,m2n2_15_30_50-90-multidom.pdb,0.05833333
multidomains,m2n3_15_30_45-135-multidom_wormcoiled_.pdb,0.0
cylinders,m2n5_15_30_40-16-cylinder.pdb,0.0
onions,m1n3_15_30_50-60-oni.pdb,0.03192308
micelles,m2n2_15_30_100-3-micelle.pdb,0.05461538
multidomains,m2n2_15_30_50-37-multidom.pdb,0.07183761
multidomains,m2n3_15_30_45-149-multidom_wormcoiled_.pdb,0.04547253
multidomains,m7n2_15_30_50-140-multidom_far_.pdb,0.0
micelles,m2n2_15_30_100-15-micelle.pdb,0.24085714
onions,m1n3_15_30_50-4-oni.pdb,0.08183761
onions,m1n3_15_30_50-69-oni.pdb,0.03
multidomains,m2n5_15_30_35-21-multidom.pdb,0.29085714
multidomains,m2n5_15_30_35-71-multidom.pdb,0.1825
multidomains,m2n2_15_30_50-84-multidom.pdb,0.06294872
cylinders,m2n5_15_30_40-7-cylinder_short.pdb,0.0
multidomains,m2n4_15_30_32-145-multidom.pdb,0.0
multidomains,m2n3_15_30_35-91-multidom.pdb,0.0
multidomains,m5n2_15_30_50-136-multidom.pdb,0.0
multidomains,m7n2_15_30_50-117-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-32-multidom_wormcoiled_.pdb,0.02
multidomains,m2n2_15_30_50-44-multidom.pdb,0.08183761
cylinders,m2n2_15_30_100-1-cylinder.pdb,0.0
multidomains,m2n2_15_30_40-104-multidom.pdb,0.02
multidomains,m5n2_15_30_50-11-multidom.pdb,0.0
multidomains,m2n2_15_30_40-32-multidom.pdb,0.06833333
micelles,m2n3_15_30_45-2-connected-micelles.pdb,0.0
multidomains,m2n5_15_30_32-37-multidom.pdb,0.01
multidomains,m2n2_15_30_50-99-multidom.pdb,0.05
micelles,m2n3_15_30_45-6-connected-micelles.pdb,0.0
multidomains,m5n2_15_30_50-67-multidom.pdb,0.0
cylinders,m3n3_15_30_50-9-cylinder_short.pdb,0.03
multidomains,m5n2_15_30_50-148-multidom.pdb,0.0
multidomains,m2n2_15_30_50-73-multidom.pdb,0.07183761
multidomains,m5n2_15_30_50-123-multidom.pdb,0.0
multidomains,m2n4_15_30_32-148-multidom.pdb,0.0
multidomains,m2n5_15_30_32-69-multidom.pdb,0.0
multidomains,m2n2_15_30_50-34-multidom.pdb,0.05
multidomains,m2n2_15_30_40-90-multidom.pdb,0.0
multidomains,m2n2_15_30_40-55-multidom.pdb,0.03
multidomains,m2n2_15_30_40-64-multidom.pdb,0.03
multidomains,m5n2_15_30_50-50-multidom.pdb,0.0
micelles,m3n3_15_30_50-14-micelle.pdb,0.0
multidomains,m2n2_15_30_40-65-multidom.pdb,0.03833333
multidomains,m2n2_15_30_50-13-multidom.pdb,0.05
multidomains,m2n3_15_30_45-138-multidom_wormcoiled_.pdb,0.02461538
multidomains,m2n5_15_30_32-42-multidom.pdb,0.11929375
micelles,m5n2_15_30_100-26-micelle.pdb,0.04
multidomains,m5n2_15_30_50-137-multidom.pdb,0.0
multidomains,m2n3_15_30_35-25-multidom.pdb,0.0
multidomains,m2n4_15_30_32-8-multidom.pdb,0.0
multidomains,m2n2_15_30_50-60-multidom.pdb,0.14515089
multidomains,m2n5_15_30_32-114-multidom.pdb,0.0
multidomains,m7n2_15_30_50-127-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_45-8-multidom.pdb,0.08183761
multidomains,m5n2_15_30_50-122-multidom.pdb,0.0
cylinders,m2n5_15_30_40-11-cylinder.pdb,0.0
micelles,m2n3_15_30_45-7-connected-micelles.pdb,0.0
multidomains,m2n2_15_30_40-89-multidom.pdb,0.03
multidomains,m2n5_15_30_32-54-multidom.pdb,0.05
multidomains,m2n5_15_30_32-16-multidom.pdb,0.05
multidomains,m5n2_15_30_50-31-multidom.pdb,0.0
multidomains,m2n5_15_30_32-62-multidom.pdb,0.24386884
multidomains,m2n5_15_30_35-43-multidom.pdb,0.20664662
multidomains,m2n3_15_30_45-62-multidom_wormcoiled_.pdb,0.0
multidomains,m2n2_15_30_50-27-multidom.pdb,0.07183761
multidomains,m2n3_15_30_35-85-multidom.pdb,0.0
onions,m1n3_15_30_50-33-oni.pdb,0.03192308
multidomains,m2n3_15_30_45-5-multidom.pdb,0.05461538
multidomains,m2n3_15_30_45-48-multidom_wormcoiled_.pdb,0.0
multidomains,m2n2_15_30_50-30-multidom.pdb,0.07183761
multidomains,m2n2_15_30_40-27-multidom.pdb,0.03
multidomains,m2n3_15_30_45-141-multidom_wormcoiled_.pdb,0.05
multidomains,m2n4_15_30_32-146-multidom.pdb,0.0
multidomains,m2n4_15_30_32-51-multidom.pdb,0.0
multidomains,m2n5_15_30_35-93-multidom.pdb,0.25664662
multidomains,m2n2_15_30_50-24-multidom.pdb,0.07183761
onions,m1n3_15_30_50-29-oni.pdb,0.0
multidomains,m2n5_15_30_35-16-multidom.pdb,0.19467836
multidomains,m2n2_15_30_50-79-multidom.pdb,0.08183761
multidomains,m5n2_15_30_50-35-multidom.pdb,0.0
multidomains,m2n2_15_30_40-106-multidom.pdb,0.0
onions,m1n3_15_30_50-42-oni.pdb,0.0
multidomains,m2n5_15_30_32-9-multidom.pdb,0.0
multidomains,m2n3_15_30_45-98-multidom_wormcoiled_.pdb,0.00461538
multidomains,m2n5_15_30_32-46-multidom.pdb,0.0
multidomains,m2n3_15_30_45-60-multidom_wormcoiled_.pdb,0.05
multidomains,m5n2_15_30_50-114-multidom.pdb,0.0
multidomains,m5n2_15_30_50-32-multidom.pdb,0.0
micelles,m2n2_15_30_100-2-micelle.pdb,0.27752381
multidomains,m5n2_15_30_50-139-multidom.pdb,0.0
multidomains,m5n2_15_30_50-51-multidom.pdb,0.0
multidomains,m5n2_15_30_50-59-multidom.pdb,0.0
multidomains,m2n4_15_30_32-59-multidom.pdb,0.0
multidomains,m2n2_15_30_40-67-multidom.pdb,0.0
multidomains,m2n2_15_30_40-38-multidom.pdb,0.12886884
multidomains,m2n5_15_30_35-67-multidom.pdb,0.22585714
multidomains,m2n2_15_30_50-119-multidom.pdb,0.05833333
multidomains,m2n3_15_30_45-47-multidom_wormcoiled_.pdb,0.03
multidomains,m2n2_15_30_50-41-multidom.pdb,0.06294872
multidomains,m2n5_15_30_32-118-multidom.pdb,0.01
multidomains,m2n2_15_30_40-143-multidom.pdb,0.03
multidomains,m2n3_15_30_45-81-multidom_wormcoiled_.pdb,0.0
multidomains,m7n2_15_30_50-131-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-59-multidom_wormcoiled_.pdb,0.05
multidomains,m2n3_15_30_45-8-multidom_wormcoiled_.pdb,0.07547253
micelles,m2n2_15_30_100-6-neckl.pdb,0.0
multidomains,m2n3_15_30_35-41-multidom.pdb,0.0
multidomains,m2n5_15_30_32-89-multidom.pdb,0.22553551
multidomains,m2n5_15_30_35-90-multidom.pdb,0.29085714
multidomains,m2n2_15_30_40-119-multidom.pdb,0.0
multidomains,m7n2_15_30_50-12-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_40-13-wormdom.pdb,0.05
multidomains,m5n2_15_30_50-10-multidom.pdb,0.0
multidomains,m2n5_15_30_35-25-multidom.pdb,0.23553551
onions,m1n3_15_30_50-10-oni.pdb,0.39752381
multidomains,m2n5_15_30_35-33-multidom.pdb,0.07929375
multidomains,m2n3_15_30_45-35-multidom_wormcoiled_.pdb,0.0
multidomains,m2n2_15_30_50-55-multidom.pdb,0.08183761
multidomains,m2n4_15_30_32-115-multidom.pdb,0.0
micelles,m2n5_15_30_40-9-micelle.pdb,0.06547253
multidomains,m2n3_15_30_45-103-multidom_wormcoiled_.pdb,0.0
multidomains,m5n2_15_30_50-6-multidom.pdb,0.0
multidomains,m2n2_15_30_40-136-multidom.pdb,0.0
multidomains,m2n4_15_30_32-65-multidom.pdb,0.0
multidomains,m2n2_15_30_40-97-multidom.pdb,0.0
multidomains,m2n2_15_30_40-123-multidom.pdb,0.0
multidomains,m2n4_15_30_32-122-multidom.pdb,0.0
multidomains,m2n5_15_30_35-86-multidom.pdb,0.2125
multidomains,m2n3_15_30_35-90-multidom.pdb,0.03
multidomains,m2n3_15_30_45-140-multidom_wormcoiled_.pdb,0.01461538
multidomains,m2n2_15_30_40-22-multidom.pdb,0.03
multidomains,m2n3_15_30_40-8-wormdom.pdb,0.05
multidomains,m5n2_15_30_50-9-multidom.pdb,0.0
multidomains,m5n2_15_30_50-60-multidom.pdb,0.0
micelles,m2n3_15_30_45-11-connected-micelles.pdb,0.0
multidomains,m2n4_15_30_32-68-multidom.pdb,0.0
multidomains,m2n3_15_30_45-80-multidom_wormcoiled_.pdb,0.0
multidomains,m2n4_15_30_32-44-multidom.pdb,0.0
multidomains,m2n5_15_30_32-6-multidom.pdb,0.06350427
micelles,m3n3_15_30_50-4-neckl.pdb,0.0
onions,m1n3_15_30_50-26-oni.pdb,0.04192308
micelles,m2n3_15_30_50-3-micelle.pdb,0.0
multidomains,m2n5_15_30_32-22-multidom.pdb,0.0
multidomains,m2n5_15_30_35-12-multidom.pdb,0.23553551
multidomains,m2n5_15_30_35-74-multidom.pdb,0.30085714
multidomains,m2n3_15_30_35-2-multidom.pdb,0.0
multidomains,m7n2_15_30_50-29-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-40-multidom.pdb,0.03
multidomains,m2n5_15_30_32-20-multidom.pdb,0.07350427
multidomains,m7n2_15_30_50-67-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-5-multidom.pdb,0.03
multidomains,m2n2_15_30_50-108-multidom.pdb,0.05
multidomains,m5n2_15_30_50-18-multidom.pdb,0.0
multidomains,m2n3_15_30_45-18-multidom_wormcoiled_.pdb,0.01461538
micelles,m2n3_15_30_50-11-micelle.pdb,0.0
multidomains,m2n2_15_30_40-133-multidom.pdb,0.0
micelles,m3n3_15_30_50-10-micelle.pdb,0.05461538
multidomains,m2n2_15_30_50-15-multidom.pdb,0.05
cylinders,m2n5_15_30_40-17-cylinder.pdb,0.0
multidomains,m2n5_15_30_35-50-multidom.pdb,0.12015089
micelles,m2n3_15_30_45-21-connected-micelles.pdb,0.0
multidomains,m5n2_15_30_50-84-multidom.pdb,0.0
multidomains,m2n4_15_30_32-58-multidom.pdb,0.0
multidomains,m2n2_15_30_40-49-multidom.pdb,0.13848422
multidomains,m2n5_15_30_35-52-multidom.pdb,0.28085714
onions,m1n3_15_30_50-49-oni.pdb,0.03192308
multidomains,m2n2_15_30_50-129-multidom.pdb,0.05
multidomains,m2n5_15_30_32-45-multidom.pdb,0.07350427
multidomains,m2n2_15_30_50-131-multidom.pdb,0.05
multidomains,m2n3_15_30_45-85-multidom_wormcoiled_.pdb,0.01
multidomains,m2n5_15_30_32-101-multidom.pdb,0.00461538
multidomains,m2n5_15_30_32-97-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-77-multidom.pdb,0.0
multidomains,m7n2_15_30_50-82-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-60-multidom.pdb,0.0
multidomains,m2n3_15_30_45-41-multidom_wormcoiled_.pdb,0.0
multidomains,m2n5_15_30_32-104-multidom.pdb,0.09436142
multidomains,m2n3_15_30_45-16-multidom_wormcoiled_.pdb,0.05
multidomains,m2n2_15_30_40-35-multidom.pdb,0.11762708
multidomains,m5n2_15_30_50-106-multidom.pdb,0.0
micelles,m2n3_15_30_45-5-connected-micelles.pdb,0.0
onions,m1n3_15_30_50-30-oni.pdb,0.03
multidomains,m2n5_15_30_35-79-multidom.pdb,0.2925
cylinders,m2n5_15_30_40-20-cylinder.pdb,0.03
multidomains,m5n2_15_30_50-43-multidom.pdb,0.0
multidomains,m2n3_15_30_45-83-multidom_wormcoiled_.pdb,0.05461538
multidomains,m5n2_15_30_50-117-multidom.pdb,0.0
multidomains,m2n5_15_30_35-98-multidom.pdb,0.18728571
micelles,m2n3_15_30_45-3-connected-micelles.pdb,0.0
multidomains,m2n2_15_30_40-50-multidom.pdb,0.06833333
multidomains,m5n2_15_30_50-8-multidom.pdb,0.0
micelles,m2n1_15_30_100-7-micelle.pdb,0.0
multidomains,m7n2_15_30_50-133-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-109-multidom.pdb,0.0
multidomains,m2n2_15_30_50-20-multidom.pdb,0.05461538
multidomains,m7n2_15_30_50-147-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-71-multidom.pdb,0.03
multidomains,m5n2_15_30_50-132-multidom.pdb,0.0
multidomains,m2n5_15_30_35-63-multidom.pdb,0.30085714
onions,m1n3_15_30_50-32-oni.pdb,0.02
multidomains,m2n5_15_30_32-75-multidom.pdb,0.0
multidomains,m2n2_15_30_40-36-multidom.pdb,0.09762708
multidomains,m2n2_15_30_50-49-multidom.pdb,0.08183761
micelles,m2n5_15_30_40-1-micelle.pdb,0.18085714
multidomains,m5n2_15_30_50-147-multidom.pdb,0.0
multidomains,m2n5_15_30_32-149-multidom.pdb,0.0
multidomains,m2n2_15_30_40-142-multidom.pdb,0.0
multidomains,m2n3_15_30_40-18-wormdom.pdb,0.04833333
multidomains,m2n2_15_30_40-112-multidom.pdb,0.0
multidomains,m2n3_15_30_45-6-multidom.pdb,0.0
multidomains,m1n1_15_30_100-multidom.pdb,0.03
multidomains,m2n2_15_30_40-98-multidom.pdb,0.0
micelles,m2n2_15_30_100-5-micelle.pdb,0.03833333
multidomains,m2n3_15_30_35-65-multidom.pdb,0.03
multidomains,m2n5_15_30_32-144-multidom.pdb,0.0
multidomains,m2n3_15_30_40-14-wormdom.pdb,0.05
multidomains,m2n5_15_30_35-10-multidom.pdb,0.02929375
multidomains,m7n2_15_30_50-80-multidom_far_.pdb,0.0
cylinders,m2n5_15_30_40-10-cylinder.pdb,0.0
multidomains,m2n2_15_30_40-99-multidom.pdb,0.0
multidomains,m2n3_15_30_45-19-multidom_wormcoiled_.pdb,0.02461538
multidomains,m5n2_15_30_50-41-multidom.pdb,0.0
multidomains,m2n3_15_30_45-91-multidom_wormcoiled_.pdb,0.05461538
multidomains,m1n1_15_30_50-1-multidom.pdb,0.0125
multidomains,m2n5_15_30_32-74-multidom.pdb,0.05461538
multidomains,m2n2_15_30_50-106-multidom.pdb,0.05
multidomains,m2n3_15_30_35-87-multidom.pdb,0.03
micelles,m2n5_15_30_40-2-micelle.pdb,0.07269475
multidomains,m7n2_15_30_50-101-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-6-multidom.pdb,0.0
multidomains,m2n5_15_30_32-150-multidom.pdb,0.0
multidomains,m2n3_15_30_45-42-multidom_wormcoiled_.pdb,0.0
multidomains,m2n2_15_30_50-105-multidom.pdb,0.05833333
multidomains,m2n3_15_30_45-145-multidom_wormcoiled_.pdb,0.00461538
multidomains,m2n5_15_30_32-123-multidom.pdb,0.0
multidomains,m5n2_15_30_50-92-multidom.pdb,0.0
multidomains,m2n3_15_30_45-37-multidom_wormcoiled_.pdb,0.0
multidomains,m2n4_15_30_32-81-multidom.pdb,0.0
multidomains,m2n3_15_30_45-8-multidom.pdb,0.0
multidomains,m2n2_15_30_45-6-multidom.pdb,0.03
onions,m1n3_15_30_50-43-oni.pdb,0.20571429
multidomains,m2n2_15_30_50-64-multidom.pdb,0.06294872
multidomains,m7n2_15_30_50-30-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_40-4-wormdom.pdb,0.05
multidomains,m2n5_15_30_32-96-multidom.pdb,0.18974603
multidomains,m2n3_15_30_35-89-multidom.pdb,0.06
multidomains,m5n2_15_30_50-58-multidom.pdb,0.0
multidomains,m2n3_15_30_45-71-multidom_wormcoiled_.pdb,0.0
multidomains,m2n3_15_30_45-21-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n2_15_30_40-25-multidom.pdb,0.07350427
cylinders,m2n2_15_30_100-4-cylinder.pdb,0.0
multidomains,m2n2_15_30_50-102-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-124-multidom.pdb,0.0
multidomains,m2n5_15_30_35-24-multidom.pdb,0.14015089
multidomains,m7n2_15_30_50-115-multidom_far_.pdb,0.0
